,age,workclass,fnlwgt,education-num,marital status,occupation,relationship,race,sex,hours/week,native country
0,4,6,1,13,5,1,2,5,2,4,39
1,5,5,1,13,3,4,1,5,2,2,39
2,3,3,2,9,1,6,2,5,2,4,39
3,5,3,2,7,3,6,1,3,2,4,39
4,2,3,3,13,3,10,6,3,1,4,5
5,3,3,2,14,3,4,6,5,1,4,39
6,5,3,1,5,4,8,2,3,1,2,23
7,5,5,2,9,3,4,1,5,2,5,39
8,2,3,1,14,5,10,2,5,1,5,39
9,4,3,1,13,3,4,1,5,2,4,39
10,3,3,2,10,3,4,1,3,2,9,39
11,2,6,1,13,3,10,1,2,2,4,19
12,1,3,1,13,5,1,4,5,1,3,39
13,3,3,2,12,5,12,2,3,2,5,39
14,3,3,2,4,3,14,1,1,2,5,26
15,2,5,2,9,5,5,4,5,2,4,39
16,3,3,2,9,5,7,5,5,2,4,39
17,3,3,1,7,3,12,1,5,2,5,39
18,4,5,2,14,1,4,5,5,1,5,39
19,4,3,2,16,3,10,1,5,2,7,39
20,6,3,2,9,6,8,5,3,1,2,39
21,3,1,1,5,3,5,1,3,2,4,39
22,4,3,1,7,3,14,1,5,2,4,39
23,6,3,1,9,1,13,5,5,1,4,39
24,6,2,2,13,3,13,1,5,2,4,39
25,1,3,2,9,5,3,4,5,2,4,39
26,4,3,3,9,1,4,2,5,2,9,39
27,5,3,2,9,3,3,1,5,2,4,39
28,1,2,2,12,5,11,2,5,2,6,39
29,1,3,2,10,5,12,4,3,2,5,39
30,4,3,3,13,1,4,4,5,2,4,39
31,2,1,1,10,3,1,4,5,2,4,39
32,1,6,3,10,3,8,1,3,2,2,39
33,5,3,2,7,5,7,5,5,2,4,33
34,1,3,2,10,5,7,4,5,2,4,39
35,1,3,4,9,2,1,6,5,1,3,39
36,5,5,2,12,3,10,1,5,2,4,39
37,2,3,4,5,3,7,1,5,2,5,39
38,5,5,1,13,3,10,1,5,2,4,39
39,1,3,2,13,3,13,1,5,2,5,39
40,5,3,1,9,6,1,5,5,1,4,39
41,2,3,2,9,5,6,2,5,2,4,39
42,6,1,3,13,3,10,1,3,2,4,39
43,5,3,1,9,3,7,1,5,2,4,39
44,4,3,1,14,1,4,5,5,1,4,39
45,4,6,1,11,3,3,1,5,2,4,39
46,2,3,2,11,5,10,2,5,2,5,39
47,2,3,1,10,3,4,6,4,1,4,39
48,5,3,1,15,3,10,6,5,1,7,16
